Codigo,Direccion,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
7234,"Av. Vicuña Mackenna 8840, La Florida",-33.53624,-70.5924,n/a,2865,3839,49.56,67.45,venta,departamento
7165,"Salesianos esquina Gran Avenida J. M. Carrera, San Miguel",-33.49233,-70.65236,n/a,3024,3460,54.03,73.08,venta,departamento
8154,"Avenida Seminario 763, Ñuñoa",-33.45152,-70.6275,n/a,2690,7100,25.66,91.21,venta,departamento
8256,"General Mackenna 1531, Santiago",-33.43318,-70.65949,n/a,2310,5050,25.94,91.21,venta,departamento
7838,"Conde del Maule 4670, Estación Central",-33.45504,-70.70083,n/a,2330,0,36.66,57.89,venta,departamento
8282,"Av. Las Condes 12751, Las Condes",-33.37186,-70.51377,n/a,3990,6749,36.98,82.96,venta,departamento
7414,"Avenida Lo Errázuriz 2441, Cerrillos",-33.50221,-70.70793,n/a,2729,3827,57.77,85.87,venta,departamento
6601,"Av. Padre Alberto Hurtado 59, Estación Central",-33.4549,-70.69083,n/a,1975,3105,24.66,53.25,venta,departamento
5779,"Av. Independencia 2264, Independencia",-33.40528,-70.66212,n/a,1980,5296,27.22,73.25,venta,departamento
6943,"Bulnes 872, San Bernardo",-33.59907,-70.70326,n/a,2550,3300,53.6,71.1,venta,departamento
8801,"Santa Elena 922, Santiago",-33.45381,-70.63165,n/a,2330,4040,29.97,62.47,venta,departamento
7247,"Avenida Diego Portales 7080, Puente Alto",-33.56169,-70.54073,n/a,3050,3541,63.64,84.6,venta,departamento
8578,"Av. América 755, San Bernardo",-33.59662,-70.7114,n/a,1824,4094,40.32,90,venta,departamento
7277,"Av. Concha y Toro 2940, Puente Alto",-33.58373,-70.58112,n/a,2190,3324,36.98,70.07,venta,departamento
8994,"La Coruña 4855, Estación Central",-33.45225,-70.70152,n/a,2304,0,46.44,57.4,venta,departamento
7121,"Lago Pirihueico 6502, La Florida",-33.51357,-70.59264,n/a,2400,3465,36.7,76.1,venta,departamento
7913,"Zañartu 1313, Ñuñoa",-33.47322,-70.61869,n/a,2645,4497,36.89,75.53,venta,departamento
3449,"Recoleta 550, Recoleta",-33.42581,-70.64638,n/a,3002,3105,58.71,61.33,venta,departamento
7576,"Vicente Huidobro 3500, Macul",-33.486,-70.59826,n/a,2335,4125,36.46,67.9,venta,departamento
7807,"Avenida el Peral 06898, Puente Alto",-33.57547,-70.54134,n/a,2606,3185,61.11,80.17,venta,departamento
6668,"Doctor Johow 995, Ñuñoa",-33.46467,-70.59424,n/a,2252,4175,21.71,76.55,venta,departamento
8938,"Vicuña Mackenna 8597, La Florida",-33.5339,-70.59381,n/a,3072,3241,59.38,63.41,venta,departamento
8831,"Av. Las Torres 474, Valle Lo Campino, Quilicura",-33.38334,-70.72987,n/a,3222,5149,74.97,109.56,venta,departamento
8219,"Calle San Carlos 2050, Puente Alto",-33.59567,-70.55022,n/a,2480,2680,63.99,68.84,venta,departamento
7035,"Barcelona 161, La Florida",-33.5154,-70.60538,n/a,3635,3748,61.27,61.27,venta,departamento
8556,"Santa Elena de Huechuraba 1250, Huechuraba",-33.36797,-70.66532,n/a,3290,3628,66.26,70.57,venta,departamento
8405,"Arturo Prat 565, Santiago",-33.45204,-70.64903,n/a,2335,4550,29.12,60.35,venta,departamento
7837,"Inés de Suarez 7630, La Florida",-33.52416,-70.58842,n/a,3277,4238,56.45,97.27,venta,departamento
6328,"María Graham 545, Recoleta",-33.41505,-70.64268,n/a,1893,3147,45.53,63.15,venta,departamento
5595,"Irarrázaval 2150, Ñuñoa",-33.45369,-70.60856,n/a,3790,3845,49.67,49.67,venta,departamento
6905,"Eleuterio Ramirez 1335, Santiago",-33.45003,-70.65377,n/a,3030,3945,37.25,53.97,venta,departamento
8360,"Diagonal Santa Elena 2857, San Joaquín",-33.47899,-70.62997,n/a,2117,2930,35.65,54.82,venta,departamento
7349,"Villasana 1451, Quinta Normal",-33.43251,-70.68836,n/a,2435,2521,41.15,51.47,venta,departamento
7383,"Av. Vicuña Mackenna 1385, Santiago",-33.46027,-70.6284,n/a,2474,4453,32.13,76.16,venta,departamento
8321,"Puntiagudo 5361, Conchalí",-33.37959,-70.67568,n/a,1706,3029,33.82,53.95,venta,departamento
8555,"Arcadia 1431, San Miguel",-33.47974,-70.65242,n/a,3072,3654,64.28,75.61,venta,departamento
8143,"Fernández Albano 192, La Cisterna",-33.52392,-70.65757,n/a,2092,0,33.83,60.7,venta,departamento
8425,"Santa Petronila 28, Estación Central",-33.45405,-70.70457,n/a,2014,2661,33.34,52.89,venta,departamento
8258,"Av. Lo Ovalle 0150, La Cisterna",-33.51451,-70.65962,n/a,2013,3295,36.37,62,venta,departamento
4695,"Calle América 449, San Bernardo",-33.59176,-70.70926,n/a,1722,3507,35,90.8,venta,departamento
