Codigo,Direccion,Comuna,Latitud,Longitud,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda,Tipo Proyecto
4973123,"PARQUE DE LOS REYES, Santiago",Santiago,0,0,2D/2B,13,0,45,90, Arriendo, Departamento,Propiedad usada
4594753,"Vicuña Mackenna / Metro San Joaquín, San Joaquín",San Joaquín,0,0,3D/2B,3600,0,70,74, Venta, Departamento,Propiedad usada
8244,"Av. Américo Vespucio 4455, Macul",Macul,0,0,None,2190,3620,39.48,74.34, Venta, Departamento,Proyecto
4261467,"Alonso de Córdoba, Vitacura",Vitacura,0,0,4D/3B,35,0,140,140, Arriendo, Departamento,Propiedad usada
4944363,"Lord Cochrane 1394 - Departamento 1502, Santiago",Santiago,0,0,2D/1B,3112,0,51,51, Venta, Departamento,Propiedad usada
5004499,"Rebajado¡¡ Gran Oportunidad en San Diego 313, Santiago",Santiago,0,0,2D/1B,2550,0,42,45, Venta, Departamento,Propiedad usada
5022713,"Francisco de Villagra 268 - Departamento 1102, Ñuñoa",Ñuñoa,0,0,1D/1B,16,0,43,50, Arriendo, Departamento,Propiedad usada
4913388,"VASCO DE GAMA, Las Condes",Las Condes,0,0,3D/3B,33,0,144,164, Arriendo, Departamento,Propiedad usada
5027459,"Metro Cal y Canto, Santiago",Santiago,0,0,3D/2B,3270,0,71,71, Venta, Departamento,Propiedad usada
5043544,"Av. Macul / Los Olmos, Macul",Macul,0,0,3D/2B,3929,0,67,138, Venta, Departamento,Propiedad usada
4914477,"METRO ÑUBLE, Ñuñoa",Ñuñoa,0,0,2D/2B,3935,0,44,47, Venta, Departamento,Propiedad usada
4960004,"Irarrazaval / Antonio Varas, Ñuñoa",Ñuñoa,0,0,1D/1B,3250,0,40,41.2, Venta, Departamento,Propiedad usada
5013818,"Padre Miguel de Olivares 1444, Santiago, Santiago",Santiago,0,0,2D/2B,16,0,66,66, Arriendo, Departamento,Propiedad usada
5027145,"LUIS CRUZ MARTINEZ - CAMINO NOVICIADO. PUDAHUEL, Pudahuel",Pudahuel,0,0,4D/1B,2859,0,107,450, Venta, Casa,Propiedad usada
4795396,"Leonor Cepeda 952, Independencia",Independencia,0,0,2D/1B,2660,0,39.63,41.63, Venta, Departamento,Propiedad usada
4987143,"Departamneto cerca metro pricipe de Gales, Ñuñoa",Ñuñoa,0,0,2D/2B,21,0,62,66, Arriendo, Departamento,Propiedad usada
5032265,"Ángel Pimentel / Nonato Coo, Puente Alto",Puente Alto,0,0,3D/1B,3108,0,52,140, Venta, Casa,Propiedad usada
5010737,"metro hospitales, Independencia",Independencia,0,0,2D/2B,3480,0,0,0, Venta, Departamento,Propiedad usada
5036353,"ñuble, Ñuñoa",Ñuñoa,0,0,1D/2B,3823,0,60,61, Venta, Departamento,Propiedad usada
5003383,"Metro Tobalaba / EL Bosque, Providencia",Providencia,0,0,3D/3B,28,0,140,185, Arriendo, Departamento,Propiedad usada
4989965,"Semi amoblado . Melocoton - San José de Maipo, San José de Maipo",San José de Maipo,0,0,1D/1B,17,0,80,300, Arriendo, Casa,Propiedad usada
4901224,"Santo Domingo / San Martín, Santiago",Santiago,0,0,2D/2B,19,0,72,85, Arriendo, Departamento,Propiedad usada
4759705,"Jardin del Norte, Condominio con piscina, Huechuraba",Huechuraba,0,0,3D/2B,3800,0,82,86, Venta, Departamento,Propiedad usada
4760599,"METRO EL GOLF, Las Condes",Las Condes,0,0,3D/2B,30,0,120,134, Arriendo, Departamento amoblado,Propiedad usada
5024285,"PROPIEDAD CERCANA A SANTA AMALIA, BUEN ESTADO, La Florida",La Florida,0,0,3D/2B,3751,0,100,150, Venta, Casa,Propiedad usada
5007070,"Exequiel Fernández, Ñuñoa",Ñuñoa,0,0,3D/2B,21,0,83,83, Arriendo, Departamento,Propiedad usada
5012512,"Metro Pedro de Valdivia, Providencia",Providencia,0,0,3D/2B,23,0,100,100, Arriendo, Departamento,Propiedad usada
5001906,"Metro Macul, Macul",Macul,0,0,2D/2B,15,0,55,55, Arriendo, Departamento,Propiedad usada
5023625,"Avenida Independencia 1133, Independencia",Independencia,0,0,2D/2B,2890,0,50,52, Venta, Departamento,Propiedad usada
3443781,"NEW DESING / VISTA PANORÁMICA, Las Condes",Las Condes,0,0,2D/2B,34,0,78,88, Arriendo, Departamento amoblado,Propiedad usada
4380858,"Depto a pasos Gran Avenida y Metro Ciudad del niño. ARRENDADO, San Miguel",San Miguel,0,0,3D/2B,3200,0,60,63, Venta, Departamento,Propiedad usada
4959387,"Mariano Sánchez Fontecilla 1180, Las Condes",Las Condes,0,0,3D/2B,27,0,130,130, Arriendo, Departamento,Propiedad usada
5011756,"ARRIENDO DPTO. CASI NUEVO - AV. LAS COND, Las Condes",Las Condes,0,0,1D/1B,17,0,41,45, Arriendo, Departamento,Propiedad usada
4975712,"Hernando de Aguirre, Providencia",Providencia,0,0,3D/3B,35,0,140,166, Arriendo, Departamento,Propiedad usada
4911145,"NUEVO, Los Leones / Bilbao. Cercano metro Inés de Suarez, Providencia",Providencia,0,0,2D/2B,24,0,76,76, Arriendo, Departamento,Propiedad usada
5028020,"Tabancura / Av. Kennedy, Vitacura",Vitacura,0,0,1D/1B,17,0,52,59, Arriendo, Departamento,Propiedad usada
4932769,"Vicuña Mackena, La Florida",La Florida,0,0,2D/2B,15,0,51,57, Arriendo, Departamento,Propiedad usada
4990881,"DEPARTAMENTO AMOBLADO METRO MANUEL MONTT, Providencia",Providencia,0,0,2D/2B,26,0,65,65, Arriendo, Departamento,Propiedad usada
5007224,"Los Veleros 794, Puente Alto",Puente Alto,0,0,2D/1B,2503,0,65.27,140.6, Venta, Casa,Propiedad usada
4943152,"Vespucio Norte Express 700, MaipÃš - Departamento 1503, MaipÃš",MaipÃš,0,0,3D/2B,3505,0,86,93, Venta, Departamento,Propiedad usada
4978934,"Calle las Rosas / Los Cerezos / Departamental, La Florida",La Florida,0,0,4D/1B,3180,0,86,282, Venta, Casa,Propiedad usada
5040206,"La Castrina, San Joaquín, San Joaquín",San Joaquín,0,0,3D/1B,2500,0,225,70, Venta, Casa,Propiedad usada
4875239,"Diagonal Oriente/Américo Vespucio, Ñuñoa",Ñuñoa,0,0,1D/1B,3550,0,54,0, Venta, Departamento,Propiedad usada
5013044,"Arrayan 2702, Providencia",Providencia,0,0,1D/1B,13,0,62,64, Arriendo, Departamento,Propiedad usada
4964925,"Argomedo 65, Santiago",Santiago,0,0,2D/2B,2862,0,47.87,52.68, Venta, Departamento,Propiedad usada
