Codigo,Direccion,Piezas,Precio Min (UF),Precio Max (UF),Tamaño Min,Tamaño Max,Pago,Tipo de Vivienda
6778,"Avenida Vicuña Mackenna 7735, La Florida",n/a,2563.0,0.0,40.02,72.78,venta,departamento
7525,"Almirante Blanco Encalada 2521, Santiago",n/a,2275.0,3717.0,29.5,57.9,venta,departamento
6838,"Alonso de Ercilla 8689, La Florida",n/a,2290.0,3090.0,45.41,67.34,venta,departamento
6876,"San Nicolás 1171, San Miguel",n/a,2841.0,3573.0,50.62,63.76,venta,departamento
8223,"Orompello 7255, La Florida",n/a,2611.0,5508.0,41.68,89.36,venta,departamento
8546,"Vicuña Mackenna 3030, Macul",n/a,2232.0,3402.0,28.29,58.32,venta,departamento
6062,"Av. Américo Vespucio 4641, Macul",n/a,2260.0,4761.0,34.79,103.22,venta,departamento
8566,"Abate Molina s/n, Santiago",n/a,1633.0,3421.0,22.32,70.98,venta,departamento
8697,"Alcalde Pedro Alarcon, San Miguel",n/a,2231.0,4218.0,32.07,71.16,venta,departamento
7841,"Avenida Macul 2301, Macul",n/a,2750.0,0.0,51.02,100.71,venta,departamento
7322,"Av. Presidente Balmaceda 2.610, Santiago",n/a,1480.0,3920.0,24.82,84.45,venta,departamento
8585,"Zañartu 980, Ñuñoa",n/a,2585.0,3775.0,37.15,65.06,venta,departamento
8257,"Vicuña Mackenna 7770, La Florida",n/a,1985.0,3644.0,28.57,67.45,venta,departamento
8174,"General Freire 80, La Cisterna",n/a,2306.0,3493.0,43.57,73.2,venta,departamento
8453,"Av. Brasil 601, Santiago",n/a,2784.0,2847.0,36.88,37.81,venta,departamento
7587,"Colombia 7584, La Florida",n/a,2170.0,4810.0,35.9,88.75,venta,departamento
8858,"Américo Vespucio 7550, La Florida",n/a,2343.0,4003.0,39.79,88.06,venta,departamento
8942,"Ramón Cruz 3291, Macul",n/a,2490.0,4610.0,44.35,80.35,venta,departamento
8004,"García Valenzuela 44, Ñuñoa",n/a,2450.0,0.0,27.0,62.0,venta,departamento
8595,"Lazo 1365, San Miguel",n/a,2300.0,2900.0,38.82,60.75,venta,departamento
7526,"Armando Moock 3945, Macul",n/a,3000.0,0.0,60.02,60.02,venta,departamento
4708,"Camino del Paisaje 6546, La Florida",n/a,2690.0,6920.0,53.08,129.69,venta,departamento
6952,"José Miguel Carrera 680, Santiago",n/a,2825.0,0.0,38.58,50.93,venta,departamento
